"00186","PA115","SOUTH MONTROSE ","S MONTROSE CM           "
"00187","AZ019","TUSCON         ","ODD FELLOWS CM          "
"00188","CT003","HARTFORD       ","HARTFORD                "
"00189","MA013","SPRINGFIELD    ","OAK GROVE CM            "
"00190","CT011","LEBANON        ","NEW LEBANON CM          "
"00191","CT009","HAMDEN         ","ST MARY CM              "
"00192","CT009","W HAVEN        ","ST LAWRENCE CM          "
"00193","GA051","SAVANNAHN      ","BONAVENTURE CM          "
"00194","WA031","PORT TOWNSEND  ","BRINNON CM              "
"00195","CT009","NAUGATUCK      ","ST JAMES CM             "
"00196","CT003","PLAINVILLE     ","WEST CM                 "
"00197","OH061","CINCINNATI     ","FLEISHMAN ESTAT         "
"00198","CT009","E HAVEN        ","EAST LAWN CM            "
"00199","CT009","ORANGE         ","ST LAWRENCE CM          "
"00200","MA025","BOSTON         ","CALVARY CM              "
"00201","CT009","NEW HAVEN      ","FAIR HAVEN              "
"00202","WA033","SEATTLE        ","WASHINGTON CM           "
"00203","PA131","TUNKHANNOCK    ","GRAVEL HILL CM          "
"00204","CT005","PLYMOUTH       ","WEST CM                 "
"00205","AR143","WEDINGTON      ","WEDINGTON CM            "
"00206","CT001","STRATFORD      ","CONGREGATIONAL CM       "
"00207","CT009","NORTHFORD      ","OLD CM                  "
"00208","MA017","NATICK         ","N NATICK CM             "
"00209","PA095","EASTON HEIGHTS ","EASTON CM               "
"00210","CT005","LITCHFIELD     ","MILTON CM               "
"01457","WA027","ELMA           ","ODDFELLOW CM            "
"00212","CT009","ANSONIA        ","PINE GROVE CM           "
"00213","MA005","FAIRHAVEN      ","RIVERSIDE CM            "
"00214","CT009","NORTHFORD      ","NEW CM                  "
"00215","CA037","PASEDENA       ","PASEDENA                "
"00216","NY007","LISLE          ","RIVERHURST CM           "
"00217","CT009","DERBY          ","MT ST PETERS CM         "
"00218","MA005","NEW BEDFORD    ","RURAL CM                "
"01233","MA003","PITTSFIELD     ","PITTSFIELD CM           "
"01325","MI121","HOLTON         ","OAKWOOD-HOLTON CM       "
"00221","MA009","AMESBURY       ","ST JOSEPHS CM           "
"00222","CT009","WOODBRIDGE     ","NORTHWEST CM            "
"00224","PA103","LEHMAN TWP     ","BUSKILL CM              "
"00225","CT011","WATERFORD      ","UNION CM                "
"00226","OK001","WESTVILLE      ","WESTVILLE CM            "
"00227","MA001","BREWSTER       ","BREWSTER                "
"00228","CT009","NEW HAVEN      ","BEAVERDALE MEM PK       "
"00229","CT007","MIDDLETOWN     ","WASHINGTON ST CM        "
"00230","CT003","E HARTLAND     ","CENTER CM               "
"00231","PA115","NEW MILFORD    ","NEW MILFORD CM          "
"00232","NY003","SCIO           ","FAIRLAWN CM             "
"00233","CT001","BRIDGEPORT     ","LAKEVIEW CM             "
"00234","NY109","LAKE RIDGE     ","LAKE RIDGE CM           "
"00235","MA027","WORCESTER      ","NOTRE DAME CM           "
"00236","PA015","NEW ERA        ","NEW ERA                 "
"00237","PA121","PIKE           ","ELMWOOD CM              "
"00238","NY109","LANSING        ","PROTESTANT CM           "
"00239","NH011","HILLSBORO      ","RIVERSIDE MAUSO         "
"00240","CT009","NAUGATUCK      ","GROVE CM                "
"00241","PA069","LACKAWANNA     ","CARBONDALE CM           "
"00242","NY109","ITHACA         ","KINGS CM                "
"00243","NY007","CENTER LISLE   ","CENTER LISLE            "
"00244","CT003","HARTFORD       ","OLD NORTH CM            "
"00245","CT009","WATERBURY      ","CALVARY CM              "
"00246","CT011","NORWICH        ","MAPLEWOOD CM            "
"00247","PA101","PHILADELPHIA   ","ODDFELLOWS CM           "
"00248","OH007","JEFFERSON      ","JEFFERSON               "
"00249","CT009","BEACON FALLS   ","PINE BRIDGE CM          "
"00250","NY061","MANHATTAN      ","WOODLAWN CM             "
"00251","PA131","MESHOPPEN      ","OVERFIELD CM            "
"00252","CT009","CHESHIRE       ","HILLSIDE CM             "
"00253","MA021","RANDOLPH       ","ST MARY'S CM            "
"00254","CT009","SEYMOUR        ","UNION CM                "
"00255","MA009","AMESBURY       ","UNION CM                "
"00256","MA003","PITTSFIELD     ","ST JOSEPHS CM           "
"00257","NY007","WINDSOR CM     ","WINDSOR                 "
"00258","WI057","MAUSTON        ","OAKWOOD CM              "
"00259","PA101","PHILADELPHIA   ","ST GEORGE ME CM         "
"00260","NH015","NORTHWOOD      ","PINE GROVE CM           "
"00261","NY011","WEST GENOA     ","WEST GENOA CM           "
"00262","PA131","MESHOPPEN TWP  ","BUNNELL HILL CM         "
"00263","CT003","BURLINGTON     ","BURLINGTON              "
"00264","CT009","N BRANFORD     ","NORTHFORD CM            "
"00265","PA131","VOSBURG        ","VOSBURG CM              "
"00266","WV033","BRIDGEPORT     ","BRIDGEPORT              "
"00267","CT001","TRUMBULL       ","LONG HILL CM            "
"00268","NH007","COLEBROOK      ","VILLAGE CM              "
"00269","IN181","MONTICELLO     ","IOOF RIVERVIEW CM       "
"00270","CT005","WATERTOWN      ","MT OLIVET CM            "
"00271","MA025","BOSTON UNIV    ","MEDICAL SCHOOL          "
"00272","MA013","BLANFORD       ","BLANFORD                "
"00273","OH165","FRANKLIN TWP   ","WOODHILL CM             "
"00274","OK001","WESTVILLE      ","FOREMAN CM              "
"00275","PHILS","MANILA         ","FT MCKINLEY CM          "
"00276","NY011","KING FERRY     ","KING FERRY CM           "
"00277","PA131","TUNKHANNOCK    ","MT CARMEL               "
"00278","CT001","RIDGEFIELD     ","RIDGEFIELD              "
"00279","FL071","FT MYERS       ","FT MYERS MEM GARDEN     "
"00280","IL063","MORRIS         ","EVERGREEN CM            "
"00281","PA101","PHILADELPHIA   ","CHRIST CHYD             "
"00282","PA069","CLARKS SUMMIT  ","CLARK SUMMIT CM         "
"00283","IL067","PLYMOUTH       ","ROSEMONT CM             "
"00284","PA115","LAWTON         ","DEVINE RIDGE CM         "
"00285","CT007","ESSEX          ","CENTERBROOK CM          "
"00286","NY017","GUILFORD       ","SUNSET HILL CM          "
"01326","WA071","WALLA WALLA    ","MOUNTAIN VIEW CM        "
"00288","CT009","WHITNEYVILLE   ","WHITNEYVILLE CM         "
"00289","PA131","MEHOOPANY      ","BAPT CHYD CM            "
"00290","PA131","LACYVILLE      ","LACEY ST CM             "
"00291","UT049","PROVO          ","PROVO CITY CM           "
"00292","CT005","PLEASANT VALLEY","RIVERSIDE CM            "
"00293","IN181","REYNOLDS       ","BUNNELL CM              "
"00294","MA025","BOSTON         ","ST JOSEPHS CM           "
"00295","OH061","               ","UNION CM                "
"00296","CT005","HARWINTON      ","NORTH CM                "
"00297","MA017","BEDFORD        ","SHAWSHEEN CM            "
"00298","CT009","HAMDEN         ","HAMDEN PLAINS CM        "
"00299","CT003","FARMINGTON     ","FARMINGTON              "
"00300","MA013","SPRINGFIELD    ","SPRINGFIELD             "
"00301","NJ025","MIDDLETOWN     ","BAPT CHYD               "
"01327","MO145",,"BURKHART CM             "
"00303","HI001","OAHU           ","NATL MEM CM             "
"00304","PA015","HOMETS FERRY   ","BILES CM                "
"00305","MA013","HOLYOKE        ","FORESTDALE CM           "
"00306","MO510","ST LOUIS       ","VALHALLO CM             "
"01328","NY115","CAMBRIDGE      ","WOODLANDS CM            "
"00308","OH077","NEW LONDON     ","GROVE ST CM             "
"00309","CT009","NEW HAVEN      ","ST BERNARD CM           "
"00310","OH027","BLANCHESTER    ","I O O F CM              "
"00311","CT003","GRANBY         ","CENTER CM               "
"00312","MA009","LAWRENCE       ","CONCEPTION CM           "
"00313","NY027","AMENIA         ","SMITHFIELD BURYING GRD  "
"00314","CT005","NEW MILFORD    ","CENTER CM               "
"00315","MN061","GRAND RAPIDS   ","ITASCA CM               "
"00316","CT005","WINSTED        ","CENTER CM               "
"00317","CT005","BETHLEHEM      ","EVERGREEN CM            "
"00318","PA115","LAWTON         ","SNYDER CM               "
"00319","OH165","RIDGEVILLE     ","BAPTIST CM              "
"00320","IN067","KOKOMO         ","MEMORIAL PARK           "
"00321","OH165","RED LION       ","WESTFIELD CM            "
